t [s]	η [m]
159.25	0.14219292
159.375	0.5928312
159.5	1.0214616
159.625	1.4192243
159.75	1.7792869
159.875	2.0973766
160.0	2.3720145
160.125	2.6044414
160.25	2.7982132
160.375	2.958671
160.5	3.0920036
160.625	3.2044508
160.75	3.3014054
160.875	3.3867164
161.0	3.4621882
161.125	3.5274072
161.25	3.5798805
161.375	3.6155062
161.5	3.6291845
161.625	3.6157508
161.75	3.570747
161.875	3.491243
162.0	3.376441
162.125	3.227937
162.25	3.0496755
162.375	2.84776
162.5	2.6296964
162.625	2.403661
162.75	2.1776204
162.875	1.9585246
163.0	1.7515283
163.125	1.5596453
163.25	1.3834759
163.375	1.2214509
163.5	1.0701717
163.625	0.92505974
163.75	0.7810721
163.875	0.6334033
164.0	0.4781157
164.125	0.31255543
164.25	0.13553002
164.375	-0.05274978
164.5	-0.25095728
164.625	-0.45708174
164.75	-0.66893715
164.875	-0.8846114
165.0	-1.1028197
165.125	-1.3230536
165.25	-1.5454797
165.375	-1.7706647
165.5	-1.9991269
165.625	-2.230727
165.75	-2.4641461
165.875	-2.6964946
166.0	-2.9229445
166.125	-3.1369352
166.25	-3.3303385
166.375	-3.4941638
166.5	-3.6192977
166.625	-3.6974444
166.75	-3.7220063
166.875	-3.6888962
167.0	-3.5970383
167.125	-3.44863
167.25	-3.249006
167.375	-3.006194
167.5	-2.7302146
167.625	-2.4321017
167.75	-2.1230655
167.875	-1.8134608
168.0	-1.5121375
168.125	-1.2259358
168.25	-0.95951104
